X,CH1,CH2
-0.006,2.72,5.6
-0.00598,2.72,5.6
-0.00596,2.72,6.4
-0.00594,2.72,5.6
-0.00592,2.72,5.6
-0.0059,2.72,5.6
-0.00588,2.72,5.6
-0.00586,2.72,4.8
-0.00584,2.72,5.6
-0.00582,2.64,6.4
-0.0058,2.72,5.6
-0.00578,2.72,6.4
-0.00576,2.72,5.6
-0.00574,2.72,5.6
-0.00572,2.72,5.6
-0.0057,2.64,5.6
-0.00568,2.72,5.6
-0.00566,2.72,6.4
-0.00564,2.72,5.6
-0.00562,2.64,5.6
-0.0056,2.72,5.6
-0.00558,2.8,5.6
-0.00556,2.72,5.6
-0.00554,2.8,6.4
-0.00552,2.72,5.6
-0.0055,2.8,5.6
-0.00548,2.72,5.6
-0.00546,2.64,5.6
-0.00544,2.72,6.4
-0.00542,2.72,5.6
-0.0054,2.72,5.6
-0.00538,2.72,5.6
-0.00536,2.72,5.6
-0.00534,2.64,6.4
-0.00532,2.72,5.6
-0.0053,2.72,6.4
-0.00528,2.72,5.6
-0.00526,2.72,6.4
-0.00524,2.72,5.6
-0.00522,2.72,6.4
-0.0052,2.72,5.6
-0.00518,2.72,6.4
-0.00516,2.72,5.6
-0.00514,2.72,6.4
-0.00512,2.72,5.6
-0.0051,2.72,5.6
-0.00508,2.72,5.6
-0.00506,2.72,5.6
-0.00504,2.72,5.6
-0.00502,2.72,6.4
-0.005,2.72,5.6
-0.00498,2.72,6.4
-0.00496,2.72,6.4
-0.00494,2.72,5.6
-0.00492,2.72,5.6
-0.0049,2.72,5.6
-0.00488,2.72,5.6
-0.00486,2.8,6.4
-0.00484,2.72,5.6
-0.00482,2.64,5.6
-0.0048,2.72,5.6
-0.00478,2.8,6.4
-0.00476,2.72,5.6
-0.00474,2.72,5.6
-0.00472,2.72,5.6
-0.0047,2.72,6.4
-0.00468,2.72,5.6
-0.00466,2.72,5.6
-0.00464,2.72,5.6
-0.00462,2.72,6.4
-0.0046,2.72,5.6
-0.00458,2.64,5.6
-0.00456,2.72,5.6
-0.00454,2.72,5.6
-0.00452,2.72,5.6
-0.0045,2.72,6.4
-0.00448,2.72,5.6
-0.00446,2.72,5.6
-0.00444,2.72,6.4
-0.00442,2.64,5.6
-0.0044,2.72,5.6
-0.00438,2.72,5.6
-0.00436,2.72,5.6
-0.00434,2.72,6.4
-0.00432,2.72,5.6
-0.0043,2.72,5.6
-0.00428,2.72,5.6
-0.00426,2.72,5.6
-0.00424,2.72,5.6
-0.00422,2.72,5.6
-0.0042,2.72,5.6
-0.00418,2.72,5.6
-0.00416,2.72,5.6
-0.00414,2.72,6.4
-0.00412,2.72,5.6
-0.0041,2.64,6.4
-0.00408,2.72,5.6
-0.00406,2.72,5.6
-0.00404,2.72,5.6
-0.00402,2.72,6.4
-0.004,2.72,5.6
-0.00398,0.56,26.4
-0.00396,0.56,25.6
-0.00394,0.64,26.4
-0.00392,0.56,26.4
-0.0039,0.56,26.4
-0.00388,0.56,26.4
-0.00386,0.64,26.4
-0.00384,0.56,26.4
-0.00382,0.64,27.2
-0.0038,0.56,26.4
-0.00378,0.64,27.2
-0.00376,0.56,26.4
-0.00374,0.64,26.4
-0.00372,0.56,26.4
-0.0037,0.56,26.4
-0.00368,0.56,26.4
-0.00366,0.64,26.4
-0.00364,0.56,26.4
-0.00362,0.64,27.2
-0.0036,0.56,26.4
-0.00358,0.64,27.2
-0.00356,0.56,26.4
-0.00354,0.64,26.4
-0.00352,0.56,26.4
-0.0035,0.64,27.2
-0.00348,0.56,26.4
-0.00346,0.64,27.2
-0.00344,0.56,26.4
-0.00342,0.64,27.2
-0.0034,0.56,26.4
-0.00338,0.64,27.2
-0.00336,0.56,26.4
-0.00334,0.64,27.2
-0.00332,0.56,26.4
-0.0033,0.64,27.2
-0.00328,0.56,26.4
-0.00326,0.64,27.2
-0.00324,0.56,26.4
-0.00322,0.64,26.4
-0.0032,0.56,27.2
-0.00318,0.64,26.4
-0.00316,0.56,26.4
-0.00314,0.64,27.2
-0.00312,0.56,26.4
-0.0031,0.56,27.2
-0.00308,0.56,26.4
-0.00306,0.56,27.2
-0.00304,0.56,26.4
-0.00302,0.64,27.2
-0.003,0.56,27.2
-0.00298,0.56,26.4
-0.00296,0.56,26.4
-0.00294,0.64,27.2
-0.00292,0.56,26.4
-0.0029,0.64,27.2
-0.00288,0.56,26.4
-0.00286,0.64,27.2
-0.00284,0.56,26.4
-0.00282,0.64,27.2
-0.0028,0.56,26.4
-0.00278,0.64,27.2
-0.00276,0.56,26.4
-0.00274,0.64,27.2
-0.00272,0.56,27.2
-0.0027,0.64,26.4
-0.00268,0.48,26.4
-0.00266,0.64,27.2
-0.00264,0.56,26.4
-0.00262,0.64,27.2
-0.0026,0.56,27.2
-0.00258,0.56,26.4
-0.00256,0.64,26.4
-0.00254,0.48,27.2
-0.00252,0.56,26.4
-0.0025,0.64,27.2
-0.00248,0.56,26.4
-0.00246,0.64,27.2
-0.00244,0.56,27.2
-0.00242,0.64,26.4
-0.0024,0.64,27.2
-0.00238,0.56,26.4
-0.00236,0.56,27.2
-0.00234,0.56,26.4
-0.00232,0.56,26.4
-0.0023,0.64,27.2
-0.00228,0.56,27.2
-0.00226,0.64,26.4
-0.00224,0.56,27.2
-0.00222,0.64,26.4
-0.0022,0.56,26.4
-0.00218,0.64,27.2
-0.00216,0.64,26.4
-0.00214,0.56,27.2
-0.00212,0.56,26.4
-0.0021,0.64,27.2
-0.00208,0.56,26.4
-0.00206,0.64,27.2
-0.00204,0.56,27.2
-0.00202,0.64,26.4
-0.002,0.64,26.4
-0.00198,0.56,27.2
-0.00196,0.56,26.4
-0.00194,0.64,27.2
-0.00192,0.56,27.2
-0.0019,0.64,26.4
-0.00188,0.56,27.2
-0.00186,0.56,26.4
-0.00184,0.56,27.2
-0.00182,0.64,26.4
-0.0018,0.56,27.2
-0.00178,0.56,26.4
-0.00176,0.64,27.2
-0.00174,0.56,26.4
-0.00172,0.56,26.4
-0.0017,0.56,27.2
-0.00168,0.64,26.4
-0.00166,0.56,27.2
-0.00164,0.56,27.2
-0.00162,0.64,26.4
-0.0016,0.56,27.2
-0.00158,0.64,26.4
-0.00156,0.56,27.2
-0.00154,0.64,26.4
-0.00152,0.64,26.4
-0.0015,0.56,27.2
-0.00148,0.56,27.2
-0.00146,0.56,26.4
-0.00144,0.56,26.4
-0.00142,0.56,27.2
-0.0014,0.56,26.4
-0.00138,0.64,27.2
-0.00136,0.56,27.2
-0.00134,0.56,26.4
-0.00132,0.56,27.2
-0.0013,0.56,26.4
-0.00128,0.56,27.2
-0.00126,0.64,26.4
-0.00124,0.64,26.4
-0.00122,0.56,27.2
-0.0012,0.64,26.4
-0.00118,0.48,27.2
-0.00116,0.56,26.4
-0.00114,0.64,27.2
-0.00112,0.64,27.2
-0.0011,0.56,26.4
-0.00108,0.56,27.2
-0.00106,0.56,26.4
-0.00104,0.56,27.2
-0.00102,0.64,26.4
-0.001,0.56,26.4
-0.00098,0.64,27.2
-0.00096,0.64,26.4
-0.00094,0.56,27.2
-0.00092,0.56,27.2
-0.0009,0.64,26.4
-0.00088,0.56,26.4
-0.00086,0.64,27.2
-0.00084,0.56,27.2
-0.00082,0.56,26.4
-0.0008,0.56,26.4
-0.00078,0.64,27.2
-0.00076,0.56,26.4
-0.00074,0.64,27.2
-0.00072,0.56,26.4
-0.0007,0.64,27.2
-0.00068,0.64,27.2
-0.00066,0.56,26.4
-0.00064,0.56,27.2
-0.00062,0.64,26.4
-0.0006,0.56,26.4
-0.00058,0.64,27.2
-0.00056,0.56,27.2
-0.00054,0.64,26.4
-0.00052,0.64,26.4
-0.0005,0.56,27.2
-0.00048,0.56,26.4
-0.00046,0.56,27.2
-0.00044,0.56,26.4
-0.00042,0.64,27.2
-0.0004,0.56,26.4
-0.00038,0.48,27.2
-0.00036,0.56,26.4
-0.00034,0.64,27.2
-0.00032,0.56,26.4
-0.0003,0.56,27.2
-0.00028,0.56,27.2
-0.00026,0.64,26.4
-0.00024,0.56,26.4
-0.00022,0.56,27.2
-0.0002,0.56,27.2
-0.00018,0.64,26.4
-0.00016,0.64,26.4
-0.00014,0.56,27.2
-0.00012,0.56,26.4
-0.0001,0.64,27.2
-8e-05,0.56,26.4
-6e-05,0.64,26.4
-4e-05,0.56,26.4
-2e-05,0.56,27.2
0.0,0.56,27.2
2e-05,2.64,5.6
4e-05,2.56,5.6
6e-05,2.72,6.4
8e-05,2.72,5.6
0.0001,2.64,6.4
0.00012,2.72,5.6
0.00014,2.72,6.4
0.00016,2.72,5.6
0.00018,2.8,6.4
0.0002,2.72,5.6
0.00022,2.72,5.6
0.00024,2.72,5.6
0.00026,2.72,5.6
0.00028,2.72,5.6
0.0003,2.8,5.6
0.00032,2.72,5.6
0.00034,2.72,6.4
0.00036,2.72,5.6
0.00038,2.72,5.6
0.0004,2.72,5.6
0.00042,2.64,5.6
0.00044,2.72,5.6
0.00046,2.8,6.4
0.00048,2.72,6.4
0.0005,2.72,5.6
0.00052,2.72,5.6
0.00054,2.72,6.4
0.00056,2.8,5.6
0.00058,2.72,5.6
0.0006,2.72,5.6
0.00062,2.72,5.6
0.00064,2.8,5.6
0.00066,2.72,5.6
0.00068,2.72,5.6
0.0007,2.72,6.4
0.00072,2.72,5.6
0.00074,2.72,6.4
0.00076,2.72,5.6
0.00078,2.72,5.6
0.0008,2.72,5.6
0.00082,2.72,5.6
0.00084,2.72,5.6
0.00086,2.64,5.6
0.00088,2.72,5.6
0.0009,2.72,5.6
0.00092,2.72,5.6
0.00094,2.72,6.4
0.00096,2.72,5.6
0.00098,2.72,5.6
0.001,2.72,5.6
0.00102,2.64,6.4
0.00104,2.72,5.6
0.00106,2.72,5.6
0.00108,2.72,5.6
0.0011,2.72,5.6
0.00112,2.72,6.4
0.00114,2.72,5.6
0.00116,2.72,5.6
0.00118,2.72,5.6
0.0012,2.72,5.6
0.00122,2.72,6.4
0.00124,2.72,5.6
0.00126,2.72,6.4
0.00128,2.72,5.6
0.0013,2.72,5.6
0.00132,2.72,6.4
0.00134,2.72,5.6
0.00136,2.72,5.6
0.00138,2.72,5.6
0.0014,2.72,5.6
0.00142,2.72,5.6
0.00144,2.72,5.6
0.00146,2.72,5.6
0.00148,2.72,5.6
0.0015,2.8,6.4
0.00152,2.72,5.6
0.00154,2.64,5.6
0.00156,2.72,5.6
0.00158,2.72,5.6
0.0016,2.72,5.6
0.00162,2.72,5.6
0.00164,2.72,5.6
0.00166,2.64,6.4
0.00168,2.64,5.6
0.0017,2.72,6.4
0.00172,2.72,5.6
0.00174,2.72,5.6
0.00176,2.72,5.6
0.00178,2.64,5.6
0.0018,2.72,5.6
0.00182,2.72,5.6
0.00184,2.72,5.6
0.00186,2.8,5.6
0.00188,2.72,5.6
0.0019,2.72,5.6
0.00192,2.72,5.6
0.00194,2.72,6.4
0.00196,2.8,5.6
0.00198,2.64,5.6
0.002,2.72,5.6
0.00202,2.72,5.6
0.00204,2.72,5.6
0.00206,2.64,5.6
0.00208,2.72,5.6
0.0021,2.72,5.6
0.00212,2.72,5.6
0.00214,2.72,6.4
0.00216,2.72,5.6
0.00218,2.72,6.4
0.0022,2.72,5.6
0.00222,2.72,5.6
0.00224,2.72,5.6
0.00226,2.72,6.4
0.00228,2.72,5.6
0.0023,2.72,6.4
0.00232,2.72,5.6
0.00234,2.64,5.6
0.00236,2.72,5.6
0.00238,2.72,6.4
0.0024,2.72,5.6
0.00242,2.72,6.4
0.00244,2.8,5.6
0.00246,2.72,5.6
0.00248,2.72,5.6
0.0025,2.64,5.6
0.00252,2.72,5.6
0.00254,2.64,5.6
0.00256,2.72,6.4
0.00258,2.64,5.6
0.0026,2.72,5.6
0.00262,2.72,5.6
0.00264,2.72,5.6
0.00266,2.72,5.6
0.00268,2.72,5.6
0.0027,2.72,4.8
0.00272,2.72,5.6
0.00274,2.64,5.6
0.00276,2.72,5.6
0.00278,2.72,5.6
0.0028,2.8,5.6
0.00282,2.64,6.4
0.00284,2.72,5.6
0.00286,2.72,6.4
0.00288,2.72,5.6
0.0029,2.72,6.4
0.00292,2.72,5.6
0.00294,2.72,5.6
0.00296,2.72,5.6
0.00298,2.64,6.4
0.003,2.72,5.6
0.00302,2.72,5.6
0.00304,2.72,5.6
0.00306,2.64,6.4
0.00308,2.72,5.6
0.0031,2.72,5.6
0.00312,2.8,5.6
0.00314,2.64,5.6
0.00316,2.72,5.6
0.00318,2.72,5.6
0.0032,2.72,5.6
0.00322,2.64,6.4
0.00324,2.72,5.6
0.00326,2.64,5.6
0.00328,2.72,5.6
0.0033,2.72,5.6
0.00332,2.72,6.4
0.00334,2.72,5.6
0.00336,2.72,5.6
0.00338,2.72,5.6
0.0034,2.72,5.6
0.00342,2.72,6.4
0.00344,2.72,5.6
0.00346,2.72,5.6
0.00348,2.64,5.6
0.0035,2.72,6.4
0.00352,2.72,5.6
0.00354,2.72,6.4
0.00356,2.72,5.6
0.00358,2.72,6.4
0.0036,2.72,5.6
0.00362,2.72,5.6
0.00364,2.72,5.6
0.00366,2.64,6.4
0.00368,2.72,5.6
0.0037,2.72,5.6
0.00372,2.72,5.6
0.00374,2.72,6.4
0.00376,2.72,5.6
0.00378,2.72,6.4
0.0038,2.72,5.6
0.00382,2.72,6.4
0.00384,2.72,5.6
0.00386,2.72,5.6
0.00388,2.72,5.6
0.0039,2.64,6.4
0.00392,2.72,5.6
0.00394,2.64,6.4
0.00396,2.72,5.6
0.00398,2.72,5.6
0.004,2.72,5.6
0.00402,0.48,23.2
0.00404,0.56,24.8
0.00406,0.64,26.4
0.00408,0.64,26.4
0.0041,0.56,25.6
0.00412,0.56,26.4
0.00414,0.64,26.4
0.00416,0.56,26.4
0.00418,0.64,26.4
0.0042,0.56,25.6
0.00422,0.56,27.2
0.00424,0.64,26.4
0.00426,0.56,26.4
0.00428,0.64,26.4
0.0043,0.56,27.2
0.00432,0.64,26.4
0.00434,0.56,26.4
0.00436,0.56,26.4
0.00438,0.56,26.4
0.0044,0.56,26.4
0.00442,0.64,27.2
0.00444,0.56,26.4
0.00446,0.56,26.4
0.00448,0.64,26.4
0.0045,0.56,27.2
0.00452,0.56,26.4
0.00454,0.56,27.2
0.00456,0.56,26.4
0.00458,0.56,27.2
0.0046,0.56,26.4
0.00462,0.64,26.4
0.00464,0.56,26.4
0.00466,0.56,26.4
0.00468,0.56,26.4
0.0047,0.56,27.2
0.00472,0.56,26.4
0.00474,0.64,27.2
0.00476,0.64,27.2
0.00478,0.56,26.4
0.0048,0.56,26.4
0.00482,0.64,27.2
0.00484,0.56,26.4
0.00486,0.64,27.2
0.00488,0.56,26.4
0.0049,0.64,27.2
0.00492,0.56,27.2
0.00494,0.64,26.4
0.00496,0.56,27.2
0.00498,0.64,26.4
0.005,0.56,27.2
0.00502,0.64,26.4
0.00504,0.56,26.4
0.00506,0.64,26.4
0.00508,0.56,26.4
0.0051,0.64,26.4
0.00512,0.56,26.4
0.00514,0.64,26.4
0.00516,0.56,26.4
0.00518,0.56,26.4
0.0052,0.56,26.4
0.00522,0.64,27.2
0.00524,0.56,26.4
0.00526,0.56,27.2
0.00528,0.64,26.4
0.0053,0.48,27.2
0.00532,0.56,26.4
0.00534,0.64,27.2
0.00536,0.56,27.2
0.00538,0.64,26.4
0.0054,0.56,26.4
0.00542,0.56,27.2
0.00544,0.56,26.4
0.00546,0.48,27.2
0.00548,0.64,26.4
0.0055,0.56,27.2
0.00552,0.56,27.2
0.00554,0.64,26.4
0.00556,0.56,26.4
0.00558,0.56,27.2
0.0056,0.56,26.4
0.00562,0.64,27.2
0.00564,0.56,26.4
0.00566,0.64,27.2
0.00568,0.56,26.4
0.0057,0.56,26.4
0.00572,0.64,26.4
0.00574,0.56,27.2
0.00576,0.56,26.4
0.00578,0.64,27.2
0.0058,0.56,26.4
0.00582,0.64,27.2
0.00584,0.56,26.4
0.00586,0.64,27.2
0.00588,0.56,27.2
0.0059,0.64,26.4
0.00592,0.56,27.2
0.00594,0.56,26.4
0.00596,0.56,26.4
0.00598,0.56,27.2
